['BSW-LP', ['WANA', 'WBNB'], ['0x339C72829AB7DD45C3C52f965E7ABe358dd8761E', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['THG', 'WBNB'], ['0x9fD87aEfe02441B123c3c32466cD9dB4c578618f', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['BMON', 'WBNB'], ['0x08ba0619b1e7A582E0BCe5BBE9843322C954C340', '0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c']]
['BSW-LP', ['BCOIN', 'BUSD'], ['0x00e1656e45f18ec6747F5a8496Fd39B50b38396D', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['LPKX', 'LPKY'], ['0x15B05286Eb1756434dF34439aE456885462407C6', '0xE1455634ad0C067E8BD8Ca7f6aF79ae05D8A96FB']]
['BSW-LP', ['LPKX', 'LPKT'], ['0x15B05286Eb1756434dF34439aE456885462407C6', '0x620DaD0e66B20db8016c8730FbFFF812263DBA4A']]
['BSW-LP', ['LPKX', 'LPKQ'], ['0x15B05286Eb1756434dF34439aE456885462407C6', '0xA2471ffabceEEE85a9226c24A95765335d26B4ee']]
['BSW-LP', ['LPKX', 'LPKP'], ['0x15B05286Eb1756434dF34439aE456885462407C6', '0xD1a10eC19f1097c82429C47b3CA75D03fF71F708']]
['BSW-LP', ['ETHFIN', 'USDT'], ['0x17Bd2E09fA4585c15749F40bb32a6e3dB58522bA', '0x55d398326f99059fF775485246999027B3197955']]
['BSW-LP', ['TITA', 'BUSD'], ['0x0c1253a30da9580472064a91946c5ce0C58aCf7f', '0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56']]
['BSW-LP', ['LPKX', 'LPKM'], ['0x15B05286Eb1756434dF34439aE456885462407C6', '0xC243cD73B1FB5028091Db1881260D50699621d5C']]
['BSW-LP', ['LPKX', 'LPKZ'], ['0x15B05286Eb1756434dF34439aE456885462407C6', '0xc842DADF99d61ba5cf4a98F0D380aCC4f89dc0E6']]
